"Generation Interconnection Number","IFS Queue Number","Current Cluster","Cluster Group"," Nearest Town or County","State","TO at POI","In-Service Date","Commercial Operation Date","Capacity","MAX Summer MW","MAX Winter MW","Service Type","Generation Type","Fuel Type","Substation or Line","Request Received","Date Withdrawn","Status"
"GEN-2021-097","","DISIS-2021-001","05 SOUTHWEST","Elida ","NM","SPS",2026-07-01,2026-12-31,300,300,300,"ER/NR","Wind","","Hisel 230 kV Substation",2021-05-24,"","DISIS STAGE"
"GEN-2021-096","","DISIS-2021-001","03 CENTRAL","Coffey","KS","WERE",2026-05-01,2026-12-01,503.5,503.5,503.5,"ER/NR","Solar","","Wolf Creek - Benton 345 kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-093","","DISIS-2021-001","04 SOUTHEAST","Oklahoma ","OK","OGE",2023-06-01,2025-06-01,109,109,132,"ER/NR","Thermal","Gas Turbine","Tinker",2021-04-30,"","DISIS STAGE"
"GEN-2021-090","","DISIS-2021-001","05 SOUTHWEST","Yoakum","TX","SPS",2022-06-15,2026-12-31,400,400,400,"ER/NR","Hybrid","Solar/Storage","Yoakum 345kV Substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-088","","DISIS-2021-001","04 SOUTHEAST","Cleveland","OK","WFEC",2024-09-23,2024-12-24,100,100,100,"ER/NR","Battery/Storage","","138 kV Canadian SW Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-087","","DISIS-2021-001","03 CENTRAL","Seward","KS","SUNC",2027-10-15,2027-12-31,185,185,185,"ER/NR","Hybrid","Solar","Walkemeyer - North Cimarron 115kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-086","","DISIS-2021-001","04 SOUTHEAST","Howard","AR","AEP",2027-10-15,2027-12-31,165,165,165,"ER/NR","Hybrid","Solar","Okay - Turk 138kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-085","","DISIS-2021-001","03 CENTRAL","Ford","KS","SUNC",2027-10-15,2027-12-31,200,200,200,"ER/NR","Hybrid","Solar","Crooked Creek - Fort Dodge 115kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-084","","DISIS-2021-001","03 CENTRAL","Kearney","KS","SUNC",2027-10-15,2028-12-31,200,200,200,"ER/NR","Hybrid","Solar/Storage","Williamson - Fletcher 115kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-083","","DISIS-2021-001","05 SOUTHWEST","Chaves","NM","SPS",2024-07-01,2024-09-01,100,100,100,"ER/NR","Solar","","SPP / Central Valley Electric Cooperative (CV) 69 kV transmission line",2021-04-26,"","DISIS STAGE"
"GEN-2021-082","","DISIS-2021-001","05 SOUTHWEST","Lea","NM","LEA",2024-07-01,2024-09-01,80,80,80,"ER/NR","Solar","","LE 69 kV Lewis substation",2021-04-23,"","DISIS STAGE"
"GEN-2021-081","","DISIS-2021-001","05 SOUTHWEST","Lea","NM","LEA",2024-04-01,2024-06-01,55,55,55,"ER/NR","Solar","","SPP / Lea County Electric Cooperative (LE) 69 kV transmission line",2021-04-26,"","DISIS STAGE"
"GEN-2021-080","","DISIS-2021-001","05 SOUTHWEST","Lea","NM","LEA",2024-07-01,2024-09-01,100,100,100,"ER/NR","Solar","","SPP / Lea County Electric Cooperative (LE) 69 kV",2021-04-26,"","DISIS STAGE"
"GEN-2021-079","","DISIS-2021-001","04 SOUTHEAST","Delaware (OK) / Benton (AR)","OK","AEP",2023-07-31,2026-12-31,140,140,140,"ER/NR","Hybrid","Solar/Storage","Flint Creek to Tonnece 345 kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-078","","DISIS-2021-001","03 CENTRAL","Finney","KS","SUNC",2027-10-15,2028-12-31,160,160,160,"ER/NR","Hybrid","Solar/Storage","Pierceville – Plymell 115kV",2021-04-29,"","DISIS STAGE"
"GEN-2021-077","","DISIS-2021-001","03 CENTRAL","Pettis","MO","GMO",2025-07-01,2025-08-01,150,150,150,"ER/NR","Solar","","Windsor to AEC Sedalia 161 kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-076","","DISIS-2021-001","03 CENTRAL","Ellis","KS","MIDW",2025-04-30,2026-12-31,113,113,113,"ER/NR","Solar","","Midwest Post Rock 230 kV Substation",2021-05-13,"","DISIS STAGE"
"GEN-2021-075","","DISIS-2021-001","04 SOUTHEAST","Harvard","TX","AEP",2026-07-01,2026-12-31,300,300,300,"ER/NR","Solar","","CAMPCOR4 138kV ",2021-05-19,"","DISIS STAGE"
"GEN-2021-073","","DISIS-2021-001","02 NEBRASKA","Lincoln","NE","NPPD",2024-06-01,2027-12-01,240,240,240,"ER/NR","Solar","","Tap on the Sweetwater to Gerald Gentleman 345 kV Line",2021-05-19,"","DISIS STAGE"
"GEN-2021-072","","DISIS-2021-001","01 NORTH","Mercer","ND","BEPC",2024-06-01,2024-12-01,600,600,600,"ER/NR","Solar","","345kV Transmission Line from Antelope Valley to Leland Olds Substation",2021-05-19,"","DISIS STAGE"
"GEN-2021-071","","DISIS-2021-001","04 SOUTHEAST","Noble","OK","OGE",2025-09-01,2027-11-01,403.2,403.2,403.2,"ER","Wind","","OKGE Sooner 345kV line",2021-04-26,"","DISIS STAGE"
"GEN-2021-070","","DISIS-2021-001","03 CENTRAL","Hodgeman and Ford","KS","SUNC",2027-08-01,2027-11-01,504,504,504,"ER","Wind","","SUNC Spearville - Holcomb 345kV",2021-04-26,"","DISIS STAGE"
"GEN-2021-069","","DISIS-2021-001","03 CENTRAL","Hodgeman and Ford","KS","SUNC",2027-08-01,2027-11-01,249.6,249.6,249.6,"ER","Wind","","SUNC Spearville - Holcomb 345kV",2021-04-26,"","DISIS STAGE"
"GEN-2021-068","","DISIS-2021-001","03 CENTRAL","Hodgeman and Ford","KS","SUNC",2025-09-01,2025-12-01,249.6,249.6,249.6,"ER","Wind","","SUNC Spearville - Holcomb 345kV",2021-04-26,"","DISIS STAGE"
"GEN-2021-067","","DISIS-2021-001","04 SOUTHEAST","Delaware","OK","AEP",2025-10-25,2026-10-01,100,100,100,"ER/NR","Hybrid","Solar/Storage","Tap Grove - Jay 138kV",2021-04-28,"","DISIS STAGE"
"GEN-2021-064","","DISIS-2021-001","04 SOUTHEAST","Caddo","OK","AEP",2025-10-25,2026-02-08,100,100,100,"ER/NR","Hybrid","Solar","Carnegie South 138kV",2021-04-28,"","DISIS STAGE"
"GEN-2021-063","","DISIS-2021-001","04 SOUTHEAST","McCurtain","OK","AEP",2025-10-25,2026-10-01,155,155,155,"ER/NR","Hybrid","Solar","Craig JCT 138kV",2021-04-28,"","DISIS STAGE"
"GEN-2021-062","","DISIS-2021-001","05 SOUTHWEST","Lea","NM","SPS",NA,2025-12-31,110,110,110,"ER/NR","Solar","","Roadrunner 115 kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-061","","DISIS-2021-001","02 NEBRASKA","Sedgwick","KS","WERE",NA,2025-12-31,100,100,100,"ER/NR","Solar","","Gordan Evans 138 kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-060","","DISIS-2021-001","03 CENTRAL","Lincoln","NE","NPPD",NA,2027-12-31,300,300,300,"ER/NR","Wind","","Gerald Gentleman-Red Willow 345kV line ",2021-04-29,"","DISIS STAGE"
"GEN-2021-059","","DISIS-2021-001","03 CENTRAL","Jasper","MO","EMDE",NA,2025-12-31,130,130,130,"ER/NR","Solar","","Asbury 161 kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-058","","DISIS-2021-001","01 NORTH","Madison","NE","NPPD",NA,2026-12-31,300,300,300,"ER/NR","Wind","","Shell Creek-Hoskins 345kv Line",2021-04-29,"","DISIS STAGE"
"GEN-2021-057","","DISIS-2021-001","02 NEBRASKA","Antelope","NE","NPPD",NA,2027-12-31,300,300,300,"ER","Wind","","Antelope 345kV substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-056","","DISIS-2021-001","04 SOUTHEAST","Harper and Kingman","KS","WERE",NA,2025-12-31,300,300,300,"ER/NR","Wind","","Viola 345kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-055","","DISIS-2021-001","04 SOUTHEAST","Titus","TX","AEP",NA,2026-12-31,240,240,240,"ER/NR","Solar","","Welsh 345kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-054","","DISIS-2021-001","05 SOUTHWEST","Terry","TX","SPS",NA,2025-12-31,150,150,150,"ER/NR","Solar","","Flatlands 115 kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-053","","DISIS-2021-001","04 SOUTHEAST","Muskogee","OK","OGE",NA,2026-05-30,300,300,300,"ER/NR","Solar","","Pecan Creek 345 kV Substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-052","","DISIS-2021-001","04 SOUTHEAST","Muskogee","OK","OGE",NA,2026-05-30,75,75,75,"ER/NR","Battery/Storage","","Pecan Creek 345kV substation",2021-04-29,"","DISIS STAGE"
"GEN-2021-051","","DISIS-2021-001","03 CENTRAL","Henry","MO","KCPL",2025-07-31,2025-12-31,75,75,75,"ER/NR","Battery/Storage","","161kV Stilwell-Clinton Line",2021-04-30,"","DISIS STAGE"
"GEN-2021-050","","DISIS-2021-001","03 CENTRAL","Henry","MO","KCPL",2025-07-31,2025-12-31,200,200,200,"ER/NR","Solar","","161kV Stilwell-Clinton Line",2021-04-30,"","DISIS STAGE"
"GEN-2021-049","","DISIS-2021-001","02 NEBRASKA","Lancaster","NE","LES",2025-07-31,2025-12-31,250,250,250,"ER/NR","Solar","","Wagener 115kV Substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-048","","DISIS-2021-001","02 NEBRASKA","Lancaster","NE","LES",2025-07-31,2025-12-31,75,75,75,"ER/NR","Battery/Storage","","Wagener 115kV Substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-047","","DISIS-2021-001","04 SOUTHEAST","Mayes","OK","GRDA",2026-03-01,2026-10-01,250,250,250,"ER","Solar","","Tulsa North - Grand River Energy Center Tap 345 kV Line",2021-04-29,"","DISIS STAGE"
"GEN-2021-043","","DISIS-2021-001","02 NEBRASKA","Lancaster","NE","LES",2026-02-01,2025-06-01,250,250,250,"ER","Battery/Storage","","8000 SW 12th (Rokeby) Station, 115kV Bus",2021-04-30,"","DISIS STAGE"
"GEN-2021-042","","DISIS-2021-001","03 CENTRAL","Jackson ","MO","INDN",2025-02-01,2025-06-01,50,100,100,"ER/NR","Battery/Storage","","Independence Power & Light, Blue Valley Substation, 161kV Bus",2021-04-30,"","DISIS STAGE"
"GEN-2021-041","","DISIS-2021-001","04 SOUTHEAST","Canadian","OK","OGE",2025-02-01,2025-06-01,100,100.657,100.657,"ER/NR","Battery/Storage","","Mustang 138kV Substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-040","","DISIS-2021-001","02 NEBRASKA","Cass","NE","OPPD",2025-02-01,2025-06-01,200,400,400,"ER","Battery/Storage","","OPPD District, Cass County Power Plant Substation, 345kV Bus",2021-04-30,"","DISIS STAGE"
"GEN-2021-039","","DISIS-2021-001","02 NEBRASKA","Cass","NE","OPPD",2025-02-01,2025-06-01,100,200,200,"ER","Battery/Storage","","OPPD District, North Omaha Power Plant Substation, 161kV Bus (S1211 Substation)",2021-04-30,"","DISIS STAGE"
"GEN-2021-038","","DISIS-2021-001","04 SOUTHEAST","Titus","TX","AEP",2026-02-01,2025-06-01,200,201.32,201.32,"ER/NR","Battery/Storage","","Welsh 345kV Substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-037","","DISIS-2021-001","02 NEBRASKA","Perkins & Keith","NE","NPPD",2026-10-31,2026-12-31,244.22,244.22,244.22,"ER/NR","Wind","","NPPD Sidney to Keystone 345 kV Line",2021-05-14,"","DISIS STAGE"
"GEN-2021-036","","DISIS-2021-001","04 SOUTHEAST","Little River","AR","AEP",2025-10-29,2027-12-31,204.12,204.12,204.12,"ER/NR","Solar","","Craig to Patterson 138 kV Transmission Line",2021-05-14,"","DISIS STAGE"
"GEN-2021-035","","DISIS-2021-001","03 CENTRAL","Grant","KS","SUNC",2025-10-29,2026-12-31,113,113,113,"ER/NR","Solar","","Tap Sunflower Santana 115kV Transmission Line",2021-05-14,"","DISIS STAGE"
"GEN-2021-034","","DISIS-2021-001","02 NEBRASKA","Dawson","NE","LES",2027-10-31,2027-12-31,113,113,113,"ER/NR","Solar","","Rokeby 115 kV Substation",2021-05-13,"","DISIS STAGE"
"GEN-2021-033","","DISIS-2021-001","04 SOUTHEAST","Franklin","AR","OGE",2026-10-31,2027-12-31,204.12,204.12,204.12,"ER/NR","Solar","","161kV Branch substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-032","","DISIS-2021-001","04 SOUTHEAST","Choctaw","OK","WFEC",2023-09-30,2026-12-01,149.8,149.8,149.8,"ER/NR","Solar","","Western Farmers 138kV Hugo Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-031","","DISIS-2021-001","04 SOUTHEAST","Choctaw","OK","WFEC",2023-09-30,2026-12-01,201.6,201.6,201.6,"ER/NR","Battery/Storage","","Western Farmers 138kV Hugo Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-030","","DISIS-2021-001","03 CENTRAL","Linn KS and Bates MO","KS","KCPL",2026-09-28,2026-12-31,510.3,510.3,510.3,"ER/NR","Solar","","Evergy 345kV La Cygne Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-029","","DISIS-2021-001","03 CENTRAL","Linn KS and Bates MO","KS","KCPL",2026-09-28,2026-12-31,253.2,253.8,253.8,"ER/NR","Battery/Storage","","Evergy 345kV La Cygne Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-028","","DISIS-2021-001","04 SOUTHEAST","Woodward","OK","WFEC",2027-03-10,2027-12-01,204.12,204.12,204.12,"ER/NR","Solar","","Western Farmers 138kV Mooreland Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-027","","DISIS-2021-001","02 NEBRASKA","Lancaster","NE","NPPD",2026-10-31,2026-12-31,102.06,102.06,102.06,"ER/NR","Solar","","Sheldon 115 kV Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-026","","DISIS-2021-001","03 CENTRAL","Barton","MO","EDE",2026-10-31,2027-11-28,200,200,200,"ER/NR","Solar","","Line tap Wolf Creek-Blackberry 345 kV",2021-05-14,"","DISIS STAGE"
"GEN-2021-025","","DISIS-2021-001","04 SOUTHEAST","Woodward","OK","WFEC",2025-10-31,2026-12-01,203.04,203.04,203.04,"ER/NR","Wind","","Western Farmers 138kV Mooreland Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-024","","DISIS-2021-001","01 NORTH","LaMoure","ND","WAPA",2026-10-22,2026-12-22,203.04,203.04,203.04,"ER/NR","Wind","","WAPA 230kV Jamestown Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-023","","DISIS-2021-001","03 CENTRAL","Grant","KS","WERE",2026-09-30,2026-11-30,306.18,306.18,306.18,"ER/NR","Solar","","Wild Plains 345kV Substation",2021-05-14,"","DISIS STAGE"
"GEN-2021-022","","DISIS-2021-001","03 CENTRAL","Kiowa","KS","SUNC",2026-09-01,2026-12-31,75,75,75,"ER/NR","Wind","","Greensburg 115 kV Substation",2021-04-20,"","DISIS STAGE"
"GEN-2021-021","","DISIS-2021-001","03 CENTRAL","Stevens","KS","SPS",2026-09-01,2026-12-31,150,150,150,"ER/NR","Wind","","Carpenter 345 kV Substation",2021-04-20,"","DISIS STAGE"
"GEN-2021-019","","DISIS-2021-001","04 SOUTHEAST","Noble","OK","OGE",2027-04-01,2026-12-31,74.9,75.89,75.89,"ER/NR","Battery/Storage","","Sooner 345 kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-018","","DISIS-2021-001","04 SOUTHEAST","Noble","OK","OGE",2027-04-01,2026-12-31,231,235.35,235.35,"ER/NR","Solar","","Sooner 345 kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-017","","DISIS-2021-001","03 CENTRAL","Cloud and Mitchell","KS","SUNC",2025-04-01,2025-12-31,74.9,76.49,76.49,"ER/NR","Wind","","Elm Creek 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-016","","DISIS-2021-001","04 SOUTHEAST","Johnston and Murray","OK","AEP",2025-04-01,2026-12-31,250,255,255,"ER/NR","Wind","","Sunnyside-Johnston 345 kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-015","","DISIS-2021-001","04 SOUTHEAST","Ellis","OK","OGE",2027-04-01,2025-12-31,74.9,75.91,75.91,"ER/NR","Solar","","Bobcat 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-014","","DISIS-2021-001","04 SOUTHEAST","Beckham","OK","OGE",2027-04-01,2026-12-31,231,233.98,233.98,"ER/NR","Solar","","Border 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-013","","DISIS-2021-001","03 CENTRAL","Lincoln","KS","MIDW",2023-11-15,2025-12-31,74.9,75.89,75.89,"ER/NR","Battery/Storage","","Smoky Hills Tap 230kV",2021-04-30,"","DISIS STAGE"
"GEN-2021-012","","DISIS-2021-001","04 SOUTHEAST","Beckham","OK","OGE",2023-11-15,2026-12-31,225,232.32,232.32,"ER/NR","Battery/Storage","","Border 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-011","","DISIS-2021-001","03 CENTRAL","Cloud and Mitchell","KS","SUNC",2027-04-01,2025-12-31,74.9,75.99,75.99,"ER/NR","Solar","","Elm Creek 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-010","","DISIS-2021-001","04 SOUTHEAST","Beckham","OK","OGE",2027-04-01,2026-12-31,231,273.6,273.6,"ER/NR","Solar","","Border 345 kV interconnection substation",2021-04-30,"","DISIS STAGE"
"GEN-2021-009","","DISIS-2021-001","01 NORTH","Beadle","SD","WAPA",2025-11-01,2026-03-01,225,225,225,"ER/NR","Battery/Storage","","Carpenter 230kV substation in Clark county, South Dakota",2021-05-11,"","DISIS STAGE"
"GEN-2021-008","","DISIS-2021-001","01 NORTH","McKenzie","ND","BEPC",2026-05-09,2027-10-19,270,270,270,"ER/NR","Hybrid","Solar/Storage","345kV Bus at BEPC Patent Gate Substation, McKenzie County, ND",2021-05-10,"","DISIS STAGE"
"GEN-2021-007","","DISIS-2021-001","02 NEBRASKA","Knox and Cedar","NE","NPPD",2025-09-30,2025-12-31,600,600,600,"ER/NR","Wind","","345kV bus of Turtle Creek Substation",2021-05-10,"","DISIS STAGE"
"GEN-2021-006","","DISIS-2021-001","03 CENTRAL","Labette","KS","WERE",2025-10-01,2026-02-01,300,300,300,"ER/NR","Battery/Storage","","Neosho 345kV substation in Labette County, KS",2021-05-07,"","DISIS STAGE"
"GEN-2021-005","","DISIS-2021-001","03 CENTRAL","Saline","KS","WERE",2024-11-01,2025-03-01,350,350,350,"ER/NR","Battery/Storage","","Summit 230kV substation in Saline County, KS",2021-05-07,"","DISIS STAGE"
"GEN-2021-004","","DISIS-2021-001","04 SOUTHEAST","Carter","OK","OGE",2026-09-05,2027-10-19,250,250,250,"ER/NR","Hybrid","Solar/Storage","Sunnyside to Poolville 138kV Feeder",2021-04-30,"","DISIS STAGE"
"GEN-2021-003","","DISIS-2021-001","01 NORTH","Richland","MT","WAPA",2023-10-15,2024-12-15,75.5,75.5,75.5,"ER/NR","Solar","","Fairview 115kV Substation",2020-12-11,"","DISIS STAGE"
"GEN-2021-002","","DISIS-2021-001","04 SOUTHEAST","Okeene","OK","WFEC",2024-09-25,2027-01-07,100,100,100,"ER/NR","Battery/Storage","","138kV Okeene Substation",2020-12-29,"","DISIS STAGE"
"GEN-2021-001","","DISIS-2021-001","04 SOUTHEAST","Durant","OK","OGE",2024-09-25,2024-12-24,100,100,100,"ER/NR","Battery/Storage","","138kV Brown Substation",2020-12-29,"","DISIS STAGE"
"GEN-2020-094","","DISIS-2020-001","02 NEBRASKA","Syracuse","NE","OPPD",2023-04-02,2025-08-01,250,250,250,"ER/NR","Solar","","Neb. City - 103rd & Rokeby 345 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-093","","DISIS-2020-001","01 NORTH","Potter County","SD","BEPC",2025-11-14,2026-11-19,150,150,150,"ER/NR","Solar","","Whitlock Substation 230 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-092","","DISIS-2020-001","04 SOUTHEAST","Mayes County","OK","AEP",2025-11-02,2026-11-19,100,100,100,"ER/NR","Solar","","Pryor Junction - Midwest Carbide 138kV line ",2020-04-30,"","DISIS STAGE"
"GEN-2020-091","","DISIS-2020-001","01 NORTH","McKenzie","ND","BEPC",2025-11-02,2026-11-19,150,150,150,"ER/NR","Solar","","Patent Gate Substation 345 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-090","","DISIS-2020-001","03 CENTRAL","Bourbon","KS","WERE",2026-04-01,2026-12-01,204.3,204.3,204.3,"ER/NR","Solar","","Wolf Creek- Blackberry 345 kV Substation",2020-04-27,"","DISIS STAGE"
"GEN-2020-089","","DISIS-2020-001","03 CENTRAL","Allen, Bourbon","KS","WERE",2026-11-01,2026-12-01,104,104,104,"ER/NR","Solar","","Dakota 161 kV Substation",2020-04-27,"","DISIS STAGE"
"GEN-2020-088","","DISIS-2020-001","03 CENTRAL","Jasper","MO","EDE",2022-11-30,2025-12-31,150,150,150,"ER/NR","Solar","","La Russell 161 kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-087","","DISIS-2020-001","04 SOUTHEAST","Comanche","OK","AEP",2023-05-01,2026-10-01,500,500,500,"ER/NR","Solar","","Cimmarron to Lawton 345 kV Line",2020-04-23,"","DISIS STAGE"
"GEN-2020-086","","DISIS-2020-001","03 CENTRAL","El Dorado","KS","WERE",2022-11-30,2026-10-01,500,500,500,"ER/NR","Solar","","Benton to Wolf Creek 345 kV Line",2020-04-23,"","DISIS STAGE"
"GEN-2020-085","","DISIS-2020-001","04 SOUTHEAST","Carter","OK","AEP",2023-04-02,2026-10-01,500,500,500,"ER/NR","Solar","","Lawton to Sunnyside 345 kV Line",2020-04-23,"","DISIS STAGE"
"GEN-2020-084","","DISIS-2020-001","02 NEBRASKA","Burt","NE","OPPD",2022-04-01,2025-08-01,350,350,350,"ER/NR","Solar","","Raun - Fort Calhoun 345 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-083","","DISIS-2020-001","01 NORTH","Fairview","MT","WAPA",2023-10-20,2023-11-21,74.5,74.5,74.5,"ER/NR","Solar","","Fairview 115kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-082","","DISIS-2020-001","03 CENTRAL","Seward","KS","SUNC",2023-03-30,2025-06-01,20,20,20,"ER/NR","Solar","","North Liberal 115 kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-081","","DISIS-2020-001","04 SOUTHEAST","Rusk","TX","AEP",2022-05-01,2025-06-01,200,200,200,"ER/NR","Battery/Storage","","Tenaska Switching Substation 345kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-080","","DISIS-2020-001","05 SOUTHWEST","Hale","NM","SPS",2022-05-01,2025-06-01,200,200,200,"ER/NR","Battery/Storage","","Tuco Interchange 345 kV Substation",2020-04-30,"","DISIS STAGE"
"GEN-2020-079","","DISIS-2020-001","03 CENTRAL","Cherokee ","KS","EDE",2025-07-01,2025-12-31,225,225,225,"ER/NR","Hybrid","Solar/Storage","Riverton-Neosho 161kV line",2020-04-30,"","DISIS STAGE"
"GEN-2020-078","","DISIS-2020-001","02 NEBRASKA","Washington","NE","OPPD",2022-11-30,2025-12-31,100,100,100,"ER/NR","Solar","","Substation 1226 to Substation 1237, 161kV Tap",2020-04-30,"","DISIS STAGE"
"GEN-2020-077","","DISIS-2020-001","02 NEBRASKA","Thayer","NE","NPPD",2023-11-30,2025-10-31,151.2,151.2,151.2,"ER","Wind","","North Hebron to Fairbury 115 kV",2020-04-28,"","DISIS STAGE"
"GEN-2020-076","","DISIS-2020-001","03 CENTRAL","Butler","KS","WERE",2022-11-30,2026-10-01,200,200,200,"ER/NR","Battery/Storage","","Benton to Wolf Creek 345 kV Line",2020-04-28,"","DISIS STAGE"
"GEN-2020-075","","DISIS-2020-001","04 SOUTHEAST","Comanche","OK","AEP",2023-05-01,2026-10-01,200,200,200,"ER/NR","Battery/Storage","","Cimmarron to Lawton 345 kV Line",2020-04-28,"","DISIS STAGE"
"GEN-2020-074","","DISIS-2020-001","04 SOUTHEAST","Carter","OK","AEP",2023-03-31,2026-10-01,200,200,200,"ER/NR","Battery/Storage","","Lawton to Sunnyside 345 kV Substation",2020-04-28,"","DISIS STAGE"
"GEN-2020-073","","DISIS-2020-001","03 CENTRAL","Franklin","KS","KCPL",2025-07-01,2025-08-01,190,190,190,"ER/NR","Hybrid","Solar/Storage","SE Ottawa to Pleasant Valley 161kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-072","","DISIS-2020-001","03 CENTRAL","Windsor","MO","GMO",2025-07-01,2025-08-01,150,150,150,"ER/NR","Hybrid","Solar/Storage","Windsor to AEC Sedalia 161 kV line",2020-04-30,"","DISIS STAGE"
"GEN-2020-071","","DISIS-2020-001","03 CENTRAL","Osage and Shawnee","KS","WERE",2024-09-30,2024-10-31,252,252,252,"ER/NR","Wind","","Swissvale to Morris 230 KV line",2020-04-30,"","DISIS STAGE"
"GEN-2020-070","","DISIS-2020-001","02 NEBRASKA","Osborne","KS","SUNC",2024-09-30,2024-10-31,255,255,255,"ER/NR","Wind","","Postrock to Axtell 345 KV line",2020-04-30,"","DISIS STAGE"
"GEN-2020-069","","DISIS-2020-001","02 NEBRASKA","Cherry","NE","NPPD",2023-11-30,2025-08-01,52.85,52.85,52.85,"ER/NR","Wind","","Cody to Valentine 115kV line",2020-04-24,"","DISIS STAGE"
"GEN-2020-068","","DISIS-2020-001","05 SOUTHWEST","Terry & Hockley","TX","SPS",2024-11-01,2026-12-01,400,400,400,"ER/NR","Solar","","Tuco to Yoakum 345kV line",2020-04-29,"","DISIS STAGE"
"GEN-2020-067","","DISIS-2020-001","05 SOUTHWEST","Terry & Hockley","TX","SPS",2024-11-01,2026-12-01,352.5,352.5,352.5,"ER/NR","Wind","","Tuco to Yoakum 345kV line",2020-04-24,"","DISIS STAGE"
"GEN-2020-065","","DISIS-2020-001","05 SOUTHWEST","Gaines","NM","SPS",2025-12-01,2026-05-01,1003,912.3,1003,"ER","Thermal","Combined Cycle","Hobbs-Andrews 345 kV Line",2020-04-30,"","DISIS STAGE"
"GEN-2020-064","","DISIS-2020-001","03 CENTRAL","Joplin","MO","EDE",2020-10-01,2021-05-17,64,36,64,"ER/NR","Thermal","CT","4544 Stateline CC 161kV Substation",2020-04-22,"","DISIS STAGE"
"GEN-2020-063","","DISIS-2020-001","05 SOUTHWEST","Roosevelt","NM","SPS",2023-11-01,2026-03-01,184,184,184,"ER","Solar","","San Juan Mesa 230 kV Line",2020-04-29,"","DISIS STAGE"
"GEN-2020-062","","DISIS-2020-001","05 SOUTHWEST","Curry","NM","SPS",2023-11-01,2026-03-01,256,256,256,"ER","Solar","","OASIS 230kV Substation",2020-04-29,"","DISIS STAGE"
"GEN-2020-061","","DISIS-2020-001","03 CENTRAL","Pleasant Hill","MO","GMO",2021-05-01,2022-05-01,29,29,21,"ER/NR","Thermal","Gas","Pleasant Hill 345/161/69 kV Substation",2020-04-28,"","DISIS STAGE"
"GEN-2020-060","","DISIS-2020-001","05 SOUTHWEST","Lubbock","TX","SPS",2026-05-01,2025-12-01,200,200,200,"ER","Battery/Storage","","Lubbock East Substation 230 kV",2020-04-30,"","DISIS STAGE"
"GEN-2020-059","","DISIS-2020-001","05 SOUTHWEST","Lovington","NM","SPS",2025-03-02,2025-04-01,500,500,500,"ER/NR","Hybrid","Solar/Storage","Tuco-Yoakum-Hobbs 345 kV",2020-04-29,"","DISIS STAGE"
